iteration,score,epsilon
1,0,0.2
2,0,0.2
3,0,0.2
4,0,0.2
5,0,0.2
6,0,0.2
7,0,0.2
8,0,0.2
9,0,0.2
10,0,0.2
11,0,0.2
12,0,0.2
13,0,0.2
14,0,0.2
15,0,0.2
16,0,0.2
17,0,0.2
18,0,0.2
19,0,0.2
20,0,0.2
21,0,0.2
22,0,0.2
23,0,0.2
24,0,0.2
25,1,0.199
26,0,0.199
27,0,0.199
28,0,0.199
29,0,0.199
30,0,0.199
31,0,0.199
32,0,0.199
33,0,0.199
34,0,0.199
35,0,0.199
36,0,0.199
37,0,0.199
38,0,0.199
39,0,0.199
40,0,0.199
41,0,0.199
42,0,0.199
43,0,0.199
44,0,0.199
45,0,0.199
46,0,0.199
47,0,0.199
48,0,0.199
49,0,0.199
50,0,0.199
51,0,0.199
52,0,0.199
53,0,0.199
54,0,0.199
55,0,0.199
56,0,0.199
57,0,0.199
58,0,0.199
59,0,0.199
60,1,0.198
61,0,0.198
62,0,0.198
63,0,0.198
64,0,0.198
65,0,0.198
66,0,0.198
67,0,0.198
68,0,0.198
69,0,0.198
70,0,0.198
71,0,0.198
72,0,0.198
73,0,0.198
74,0,0.198
75,0,0.198
76,0,0.198
77,0,0.198
78,0,0.198
79,0,0.198
80,0,0.198
81,0,0.198
82,0,0.198
83,0,0.198
84,0,0.198
85,0,0.198
86,0,0.198
87,0,0.198
88,0,0.198
89,0,0.198
90,0,0.198
91,0,0.198
92,0,0.198
93,0,0.198
94,0,0.198
95,0,0.198
96,0,0.198
97,0,0.198
98,0,0.198
99,0,0.198
100,0,0.198
101,0,0.198
102,0,0.198
103,0,0.198
104,0,0.198
105,0,0.198
106,0,0.198
107,0,0.198
108,1,0.197
109,0,0.197
110,1,0.196
111,0,0.196
112,0,0.196
113,0,0.196
114,0,0.196
115,0,0.196
116,0,0.196
117,0,0.196
118,0,0.196
119,0,0.196
120,0,0.196
121,0,0.196
122,0,0.196
123,0,0.196
124,0,0.196
125,1,0.195
126,0,0.195
127,0,0.195
128,0,0.195
129,0,0.195
130,0,0.195
131,1,0.194
132,0,0.194
133,0,0.194
134,0,0.194
135,0,0.194
136,2,0.193
137,1,0.192
138,1,0.191
139,0,0.191
140,0,0.191
141,0,0.191
142,1,0.19
143,0,0.19
144,0,0.19
145,2,0.189
146,1,0.188
147,1,0.187
148,0,0.187
149,0,0.187
150,0,0.187
151,0,0.187
152,0,0.187
153,0,0.187
154,1,0.186
155,0,0.186
156,0,0.186
157,1,0.185
158,0,0.185
159,0,0.185
160,0,0.185
161,0,0.185
162,0,0.185
163,1,0.184
164,2,0.183
165,3,0.182
166,0,0.182
167,0,0.182
168,0,0.182
169,3,0.181
170,0,0.181
171,0,0.181
172,0,0.181
173,0,0.181
174,0,0.181
175,0,0.181
176,0,0.181
177,0,0.181
178,0,0.181
179,0,0.181
180,0,0.181
181,0,0.181
182,1,0.18
183,0,0.18
184,0,0.18
185,0,0.18
186,0,0.18
187,1,0.179
188,0,0.179
189,0,0.179
190,0,0.179
191,0,0.179
192,0,0.179
193,0,0.179
194,0,0.179
195,0,0.179
196,0,0.179
197,1,0.178
198,0,0.178
199,1,0.177
200,0,0.177
201,0,0.177
202,0,0.177
203,0,0.177
204,0,0.177
205,0,0.177
206,0,0.177
207,0,0.177
208,0,0.177
209,0,0.177
210,0,0.177
211,0,0.177
212,0,0.177
213,0,0.177
214,0,0.177
215,0,0.177
216,0,0.177
217,1,0.176
218,0,0.176
219,0,0.176
220,0,0.176
221,1,0.175
222,0,0.175
223,0,0.175
224,0,0.175
225,0,0.175
226,0,0.175
227,0,0.175
228,1,0.174
229,0,0.174
230,0,0.174
231,1,0.173
232,1,0.172
233,1,0.17099999999999999
234,0,0.17099999999999999
235,0,0.17099999999999999
236,0,0.17099999999999999
237,0,0.17099999999999999
238,1,0.16999999999999998
239,0,0.16999999999999998
240,0,0.16999999999999998
241,0,0.16999999999999998
242,0,0.16999999999999998
243,0,0.16999999999999998
244,0,0.16999999999999998
245,1,0.16899999999999998
246,0,0.16899999999999998
247,0,0.16899999999999998
248,0,0.16899999999999998
249,0,0.16899999999999998
250,1,0.16799999999999998
251,0,0.16799999999999998
252,0,0.16799999999999998
253,0,0.16799999999999998
254,0,0.16799999999999998
255,0,0.16799999999999998
256,0,0.16799999999999998
257,0,0.16799999999999998
258,0,0.16799999999999998
259,1,0.16699999999999998
260,0,0.16699999999999998
261,1,0.16599999999999998
262,1,0.16499999999999998
263,0,0.16499999999999998
264,0,0.16499999999999998
265,0,0.16499999999999998
266,0,0.16499999999999998
267,0,0.16499999999999998
268,0,0.16499999999999998
269,1,0.16399999999999998
270,0,0.16399999999999998
271,0,0.16399999999999998
272,0,0.16399999999999998
273,0,0.16399999999999998
274,1,0.16299999999999998
275,0,0.16299999999999998
276,0,0.16299999999999998
277,0,0.16299999999999998
278,1,0.16199999999999998
279,0,0.16199999999999998
280,0,0.16199999999999998
281,1,0.16099999999999998
282,0,0.16099999999999998
283,0,0.16099999999999998
284,0,0.16099999999999998
285,0,0.16099999999999998
286,0,0.16099999999999998
287,0,0.16099999999999998
288,0,0.16099999999999998
289,0,0.16099999999999998
290,1,0.15999999999999998
291,0,0.15999999999999998
292,0,0.15999999999999998
293,0,0.15999999999999998
294,0,0.15999999999999998
295,1,0.15899999999999997
296,1,0.15799999999999997
297,0,0.15799999999999997
298,0,0.15799999999999997
299,0,0.15799999999999997
300,0,0.15799999999999997
301,0,0.15799999999999997
302,1,0.15699999999999997
303,0,0.15699999999999997
304,1,0.15599999999999997
305,0,0.15599999999999997
306,1,0.15499999999999997
307,0,0.15499999999999997
308,0,0.15499999999999997
309,2,0.15399999999999997
310,0,0.15399999999999997
311,0,0.15399999999999997
312,0,0.15399999999999997
313,0,0.15399999999999997
314,0,0.15399999999999997
315,0,0.15399999999999997
316,0,0.15399999999999997
317,0,0.15399999999999997
318,1,0.15299999999999997
319,0,0.15299999999999997
320,0,0.15299999999999997
321,1,0.15199999999999997
322,1,0.15099999999999997
323,0,0.15099999999999997
324,0,0.15099999999999997
325,0,0.15099999999999997
326,0,0.15099999999999997
327,1,0.14999999999999997
328,1,0.14899999999999997
329,0,0.14899999999999997
330,0,0.14899999999999997
331,1,0.14799999999999996
332,0,0.14799999999999996
333,0,0.14799999999999996
334,1,0.14699999999999996
335,1,0.14599999999999996
336,0,0.14599999999999996
337,0,0.14599999999999996
338,0,0.14599999999999996
339,0,0.14599999999999996
340,0,0.14599999999999996
341,1,0.14499999999999996
342,0,0.14499999999999996
343,2,0.14399999999999996
344,1,0.14299999999999996
345,1,0.14199999999999996
346,0,0.14199999999999996
347,0,0.14199999999999996
348,1,0.14099999999999996
349,0,0.14099999999999996
350,0,0.14099999999999996
351,1,0.13999999999999996
352,0,0.13999999999999996
353,0,0.13999999999999996
354,1,0.13899999999999996
355,0,0.13899999999999996
356,0,0.13899999999999996
357,0,0.13899999999999996
358,0,0.13899999999999996
359,1,0.13799999999999996
360,0,0.13799999999999996
361,0,0.13799999999999996
362,0,0.13799999999999996
363,0,0.13799999999999996
364,0,0.13799999999999996
365,1,0.13699999999999996
366,1,0.13599999999999995
367,0,0.13599999999999995
368,1,0.13499999999999995
369,0,0.13499999999999995
370,0,0.13499999999999995
371,0,0.13499999999999995
372,0,0.13499999999999995
373,0,0.13499999999999995
374,0,0.13499999999999995
375,0,0.13499999999999995
376,1,0.13399999999999995
377,0,0.13399999999999995
378,0,0.13399999999999995
379,0,0.13399999999999995
380,0,0.13399999999999995
381,0,0.13399999999999995
382,0,0.13399999999999995
383,1,0.13299999999999995
384,1,0.13199999999999995
385,0,0.13199999999999995
386,0,0.13199999999999995
387,0,0.13199999999999995
388,1,0.13099999999999995
389,0,0.13099999999999995
390,0,0.13099999999999995
391,1,0.12999999999999995
392,0,0.12999999999999995
393,0,0.12999999999999995
394,0,0.12999999999999995
395,0,0.12999999999999995
396,0,0.12999999999999995
397,1,0.12899999999999995
398,1,0.12799999999999995
399,1,0.12699999999999995
400,1,0.12599999999999995
401,1,0.12499999999999994
402,1,0.12399999999999994
403,0,0.12399999999999994
404,0,0.12399999999999994
405,3,0.12299999999999994
406,0,0.12299999999999994
407,0,0.12299999999999994
408,0,0.12299999999999994
409,0,0.12299999999999994
410,0,0.12299999999999994
411,0,0.12299999999999994
412,0,0.12299999999999994
413,0,0.12299999999999994
414,1,0.12199999999999994
415,0,0.12199999999999994
416,0,0.12199999999999994
417,0,0.12199999999999994
418,0,0.12199999999999994
419,0,0.12199999999999994
420,1,0.12099999999999994
421,0,0.12099999999999994
422,0,0.12099999999999994
423,0,0.12099999999999994
424,1,0.11999999999999994
425,1,0.11899999999999994
426,0,0.11899999999999994
427,0,0.11899999999999994
428,0,0.11899999999999994
429,0,0.11899999999999994
430,0,0.11899999999999994
431,0,0.11899999999999994
432,0,0.11899999999999994
433,0,0.11899999999999994
434,0,0.11899999999999994
435,2,0.11799999999999994
436,1,0.11699999999999994
437,1,0.11599999999999994
438,0,0.11599999999999994
439,0,0.11599999999999994
440,1,0.11499999999999994
441,2,0.11399999999999993
442,0,0.11399999999999993
443,0,0.11399999999999993
444,0,0.11399999999999993
445,0,0.11399999999999993
446,0,0.11399999999999993
447,3,0.11299999999999993
448,0,0.11299999999999993
449,2,0.11199999999999993
450,0,0.11199999999999993
451,0,0.11199999999999993
452,1,0.11099999999999993
453,0,0.11099999999999993
454,0,0.11099999999999993
455,0,0.11099999999999993
456,0,0.11099999999999993
457,2,0.10999999999999993
458,1,0.10899999999999993
459,0,0.10899999999999993
460,0,0.10899999999999993
461,0,0.10899999999999993
462,2,0.10799999999999993
463,0,0.10799999999999993
464,1,0.10699999999999993
465,1,0.10599999999999993
466,0,0.10599999999999993
467,1,0.10599999999999993
468,0,0.10599999999999993
469,0,0.10599999999999993
470,2,0.10499999999999993
471,0,0.10499999999999993
472,0,0.10499999999999993
473,0,0.10499999999999993
474,1,0.10399999999999993
475,1,0.10299999999999992
476,0,0.10299999999999992
477,2,0.10199999999999992
478,1,0.10099999999999992
479,0,0.10099999999999992
480,1,0.09999999999999992
481,0,0.09999999999999992
482,0,0.09999999999999992
483,0,0.09999999999999992
484,0,0.09999999999999992
485,0,0.09999999999999992
486,0,0.09999999999999992
487,1,0.09899999999999992
488,0,0.09899999999999992
489,0,0.09899999999999992
490,2,0.09799999999999992
491,3,0.09699999999999992
492,2,0.09599999999999992
493,10,0.09499999999999992
494,4,0.09399999999999992
495,0,0.09399999999999992
496,2,0.09299999999999992
497,1,0.09199999999999992
498,2,0.09099999999999991
499,1,0.08999999999999991
500,3,0.08899999999999991
501,0,0.08899999999999991
502,1,0.08799999999999991
503,3,0.08699999999999991
504,1,0.08599999999999991
505,1,0.08499999999999991
506,0,0.08499999999999991
507,2,0.08399999999999991
508,0,0.08399999999999991
509,0,0.08399999999999991
510,0,0.08399999999999991
511,3,0.08299999999999991
512,6,0.0819999999999999
513,0,0.0819999999999999
514,1,0.0809999999999999
515,1,0.0799999999999999
516,7,0.0789999999999999
517,1,0.0779999999999999
518,0,0.0779999999999999
519,4,0.0769999999999999
520,0,0.0769999999999999
521,3,0.0759999999999999
522,1,0.0749999999999999
523,0,0.0749999999999999
524,0,0.0749999999999999
525,2,0.0739999999999999
526,2,0.0729999999999999
527,3,0.0719999999999999
528,0,0.0719999999999999
529,0,0.0719999999999999
530,1,0.0709999999999999
531,0,0.0709999999999999
532,0,0.0709999999999999
533,1,0.0699999999999999
534,0,0.0699999999999999
535,2,0.0689999999999999
536,2,0.0679999999999999
537,0,0.0679999999999999
538,0,0.0679999999999999
539,2,0.06699999999999989
540,0,0.06699999999999989
541,1,0.06599999999999989
542,3,0.06499999999999989
543,2,0.06399999999999989
544,5,0.06299999999999989
545,3,0.06199999999999989
546,1,0.06099999999999989
547,0,0.06099999999999989
548,3,0.05999999999999989
549,1,0.058999999999999886
550,0,0.058999999999999886
551,1,0.057999999999999885
552,2,0.056999999999999884
553,1,0.05599999999999988
554,2,0.05499999999999988
555,2,0.05399999999999988
556,1,0.05299999999999988
557,0,0.05299999999999988
558,3,0.05199999999999988
559,1,0.05099999999999988
560,3,0.04999999999999988
561,1,0.04899999999999988
562,0,0.04899999999999988
563,3,0.047999999999999876
564,1,0.046999999999999875
565,2,0.045999999999999874
566,5,0.04499999999999987
567,2,0.04399999999999987
568,1,0.04299999999999987
569,0,0.04299999999999987
570,1,0.04199999999999987
571,6,0.04099999999999987
572,3,0.03999999999999987
573,2,0.03899999999999987
574,2,0.03799999999999987
575,1,0.036999999999999866
576,1,0.035999999999999865
577,3,0.034999999999999865
578,1,0.033999999999999864
579,1,0.03299999999999986
580,3,0.03199999999999986
581,4,0.03099999999999986
582,1,0.02999999999999986
583,2,0.02899999999999986
584,3,0.02799999999999986
585,3,0.026999999999999857
